Date,Description,Amount
2024-01-02,Axis SIP,1942.63
2024-01-26,Dominos,4367.32
2024-01-18,Spencer,646.27
2024-01-31,Monthly Rent,745.24
2024-03-23,Big Bazaar,582.68
2024-03-18,Water Bill,3556.15
2024-03-11,Netflix,4470.39
2024-03-09,Monthly Rent,4215.82
2024-02-29,Nippon SIP,483.17
2024-01-01,Monthly Rent,3277.14
2024-02-05,Amazon,3987.39
2024-02-13,Flipkart,1123.44
2024-03-10,Uber,3687.32
2024-01-09,Nippon SIP,847.38
2024-01-11,KFC,372.73
2024-02-08,ICICI SIP,3858.16
2024-01-26,Ajio,4943.3
2024-02-06,Netflix,4125.73
2024-01-23,Indian Oil,4828.84
2024-03-10,Monthly Rent,4789.78
2024-03-11,Ajio,4211.69
2024-03-26,KFC,4104.18
2024-03-30,Myntra,1899.79
2024-01-09,Amazon,3462.59
2024-01-25,Indian Oil,3501.88
2024-01-13,ICICI SIP,4171.91
2024-02-06,Indian Oil,3567.83
2024-01-11,Starbucks,3154.44
2024-02-18,RedBus,637.67
2024-01-08,Reliance Fresh,1082.94
2024-01-22,Subway,1803.75
2024-01-04,HP Petrol Bunk,4612.07
2024-03-09,DMart,3366.61
2024-03-12,Myntra,1644.91
2024-02-16,Spotify,3586.98
2024-01-12,Flipkart,4040.07
2024-03-24,Monthly Rent,2198.19
2024-01-07,Gas Connection,3720.77
2024-02-03,Myntra,943.08
2024-03-30,Amazon,1180.0
2024-03-04,Indian Oil,2068.38
2024-02-09,Dominos,2646.97
2024-02-12,Monthly Rent,1845.79
2024-02-07,Nippon SIP,2469.67
2024-01-08,Kotak MF,2761.29
2024-03-11,HP Petrol Bunk,3246.05
2024-02-22,SBI MF,4928.34
2024-03-02,Monthly Rent,2968.03
2024-03-12,ICICI SIP,3337.22
2024-01-26,Subway,4608.39
2024-02-03,Myntra,2393.41
2024-03-23,Spencer,2505.93
2024-01-19,HP Petrol Bunk,4904.53
2024-01-22,Gas Connection,2005.41
2024-01-05,Hotstar,4161.22
2024-02-28,Nippon SIP,2860.01
2024-03-30,Nippon SIP,3551.59
2024-03-29,Netflix,1897.54
2024-01-13,Ola,3193.39
2024-03-16,Kotak MF,1916.08
2024-02-25,Ajio,4608.41
2024-02-07,Monthly Rent,2765.02
2024-01-18,Big Bazaar,2782.82
2024-02-23,ICICI SIP,927.42
2024-01-06,Indian Oil,773.77
2024-03-03,SBI MF,4751.74
2024-02-22,Amazon Prime,845.07
2024-02-16,Ajio,3941.67
2024-01-31,Monthly Rent,4584.31
2024-03-20,Nippon SIP,1664.99
2024-02-10,ICICI SIP,3337.66
2024-03-11,Subway,4196.26
2024-02-05,Big Bazaar,4932.25
2024-02-04,Spotify,4122.02
2024-02-29,Monthly Rent,1964.42
2024-02-03,Monthly Rent,4637.67
2024-01-23,ICICI SIP,4533.43
2024-03-06,Starbucks,1070.87
2024-01-24,Water Bill,261.42
2024-03-14,Flipkart,2740.41
2024-02-05,Starbucks,2279.45
2024-03-20,Starbucks,4355.68
2024-03-26,Gas Connection,1720.5
2024-02-09,Kotak MF,3094.25
2024-02-20,ICICI SIP,859.59
2024-03-28,Ola,1500.4
2024-01-25,Dominos,4615.12
2024-03-23,Ola,3287.75
2024-02-24,Amazon Prime,2257.34
2024-02-09,Amazon,1766.22
2024-01-11,Shell,1054.93
2024-01-27,Dominos,2796.81
2024-01-11,Flipkart,2617.03
2024-03-28,Monthly Rent,842.95
2024-02-23,Spotify,1235.3
2024-01-31,Starbucks,4350.6
2024-02-13,Monthly Rent,2025.23
2024-01-17,DMart,323.45
2024-01-09,Gas Connection,3369.18
2024-02-05,HDFC MF,4679.27
2024-02-29,Monthly Rent,4462.13
2024-02-09,ICICI SIP,3301.95
2024-01-21,RedBus,4442.98
2024-03-27,ICICI SIP,4071.63
2024-03-05,Monthly Rent,549.28
2024-02-10,HP Petrol Bunk,4407.14
2024-01-25,Myntra,3676.58
2024-03-17,IRCTC,3396.69
2024-02-19,SBI MF,2388.88
2024-03-07,Indian Oil,3339.4
2024-02-03,Gas Connection,4116.71
2024-02-26,Kotak MF,241.37
2024-02-08,Spencer,1206.23
2024-03-01,Flipkart,2711.25
2024-02-18,Amazon,2827.28
2024-02-04,IRCTC,2286.33
2024-03-14,Monthly Rent,4051.93
2024-02-26,Spencer,1026.38
2024-03-01,Axis SIP,3356.24
2024-03-21,Spencer,1694.6
2024-02-02,Monthly Rent,442.7
2024-01-31,KFC,4447.0
2024-03-09,Electricity Bill,1107.92
2024-03-28,Gas Connection,1859.64
2024-01-11,HDFC MF,2894.0
2024-03-13,Starbucks,1256.76
2024-03-15,Shell,100.72
2024-01-22,Nippon SIP,4939.97
2024-02-06,Uber,3704.51
2024-03-06,Monthly Rent,4556.17
2024-01-15,Water Bill,728.1
2024-03-28,Kotak MF,4266.07
2024-02-16,Flipkart,1141.14
2024-01-11,Subway,2554.27
2024-02-21,Reliance Fresh,4229.49
2024-02-19,Indian Oil,3819.93
2024-01-06,IRCTC,4448.93
2024-03-22,Kotak MF,4043.87
2024-03-05,Monthly Rent,1152.8
2024-03-30,Ola,1353.1
2024-03-07,Spencer,4563.19
2024-02-01,Netflix,2726.06
2024-01-17,Water Bill,1719.3
2024-01-27,KFC,4327.24
2024-02-25,Water Bill,3903.84
2024-01-03,Spotify,2838.36
2024-02-17,Gas Connection,2247.97
2024-03-14,Starbucks,2276.77
2024-01-04,Monthly Rent,2993.58
2024-02-23,Monthly Rent,945.49
2024-01-11,Spencer,1879.62
2024-02-28,Indian Oil,2262.03
2024-01-12,HDFC MF,2321.89
2024-03-13,Big Bazaar,255.12
2024-02-16,Uber,1018.31
2024-03-09,Myntra,4433.73
2024-03-11,Spencer,2350.23
2024-03-07,Shell,4881.5
2024-01-04,HDFC MF,2181.87
2024-01-22,Subway,4245.96
2024-02-22,Netflix,475.62
2024-03-24,Shell,3846.34
2024-03-21,Ajio,3312.03
2024-03-17,Gas Connection,1005.36
2024-01-10,Subway,4829.6
2024-02-26,Electricity Bill,1423.02
2024-02-14,Starbucks,830.32
2024-02-29,Flipkart,2546.02
2024-01-20,Monthly Rent,3009.95
2024-02-04,Flipkart,3016.44
2024-01-28,Uber,2547.24
2024-02-08,Amazon Prime,1749.41
2024-02-29,Monthly Rent,2771.04
2024-02-24,IRCTC,2259.37
2024-03-25,ICICI SIP,2183.66
2024-01-09,DMart,4778.8
2024-02-06,Nippon SIP,2860.51
2024-03-27,ICICI SIP,2294.01
2024-02-29,Monthly Rent,3889.47
2024-02-19,HP Petrol Bunk,4213.63
2024-02-09,HP Petrol Bunk,2564.56
2024-01-08,Spencer,1712.6
2024-01-09,Spencer,4369.51
2024-02-25,Amazon Prime,3586.57
2024-02-26,Monthly Rent,262.27
2024-02-03,Uber,4252.18
2024-02-16,Spotify,1948.55
2024-03-19,Nippon SIP,4737.64
2024-02-17,Starbucks,3101.65
2024-01-26,Hotstar,3434.03
2024-02-23,Big Bazaar,290.45
2024-02-24,Monthly Rent,259.21
2024-02-10,Amazon Prime,3575.2
2024-03-04,ICICI SIP,2901.32
2024-02-07,Big Bazaar,1947.68
2024-01-29,HDFC MF,4605.01
2024-01-07,Spotify,1569.82
2024-03-10,HDFC MF,4730.43
2024-03-22,Big Bazaar,2186.65
2024-02-03,Spotify,212.61
2024-02-07,Monthly Rent,2727.65
2024-03-02,Electricity Bill,4870.87
2024-03-08,ICICI SIP,2804.6
2024-01-01,Subway,2337.28
2024-03-27,Starbucks,348.29
2024-02-20,Amazon,3918.23
2024-01-04,Amazon Prime,1589.72
2024-02-15,Uber,156.72
2024-03-29,Subway,4522.21
2024-03-01,Netflix,4723.96
2024-01-20,Spencer,1068.3
2024-03-04,Monthly Rent,317.08
2024-03-27,HDFC MF,1182.16
2024-01-14,Spotify,350.32
2024-02-05,Monthly Rent,3249.41
2024-03-26,Dominos,809.79
2024-01-20,Amazon,1120.85
2024-03-13,Water Bill,2937.82
2024-03-30,Reliance Fresh,2484.38
2024-02-27,Subway,3600.24
2024-01-06,Starbucks,3368.53
2024-03-08,Big Bazaar,2443.7
2024-02-19,Nippon SIP,2584.26
2024-02-16,Electricity Bill,4921.55
2024-03-23,Indian Oil,2720.94
2024-03-12,Gas Connection,3660.72
2024-02-24,Subway,3936.37
2024-01-05,Hotstar,789.64
2024-02-22,Hotstar,2229.78
2024-01-26,Shell,2115.06
2024-01-18,Kotak MF,4606.64
2024-03-14,Spotify,2952.17
2024-01-29,Ajio,4402.93
2024-03-18,Shell,4045.28
2024-01-20,KFC,1278.67
2024-03-01,KFC,2515.54
2024-02-27,Kotak MF,2438.83
2024-02-21,HP Petrol Bunk,1001.82
2024-02-11,Electricity Bill,2741.91
2024-01-06,Shell,2069.87
2024-01-27,ICICI SIP,4376.58
2024-01-18,Reliance Fresh,595.4
2024-01-13,Spotify,4792.62
2024-01-09,ICICI SIP,1698.52
2024-03-20,Gas Connection,2688.5
2024-03-21,Nippon SIP,134.41
2024-01-02,Big Bazaar,4731.7
2024-03-15,SBI MF,2825.23
2024-02-17,KFC,2704.92
2024-02-18,Kotak MF,1448.92
2024-03-05,ICICI SIP,1025.11
2024-03-01,Dominos,1469.23
2024-01-07,ICICI SIP,3111.46
2024-03-08,HP Petrol Bunk,4842.98
2024-02-10,Ajio,3261.93
2024-01-24,Monthly Rent,1871.77
2024-01-26,DMart,2059.54
2024-03-11,Shell,3619.96
2024-01-08,Hotstar,1213.01
2024-03-08,Monthly Rent,4910.14
2024-02-14,Hotstar,2838.68
2024-03-23,Kotak MF,1542.81
2024-02-03,Gas Connection,2041.61
2024-03-23,Flipkart,3420.86
2024-01-09,Ajio,213.36
2024-03-20,Monthly Rent,2310.66
2024-03-11,KFC,4157.11
2024-02-21,Axis SIP,4162.34
2024-03-16,Hotstar,1825.07
2024-01-31,DMart,3573.57
2024-03-08,Myntra,3348.9
2024-02-19,Gas Connection,1951.74
2024-03-25,Water Bill,1934.26
2024-01-05,HP Petrol Bunk,4325.14
2024-01-03,KFC,2640.9
2024-03-06,DMart,2924.96
2024-02-17,Amazon,895.24
2024-03-26,Ajio,2709.1
2024-03-06,Monthly Rent,2966.64
2024-01-13,Monthly Rent,193.93
2024-03-17,DMart,3286.62
2024-03-26,IRCTC,4074.7
2024-02-20,Monthly Rent,1325.81
2024-01-15,Subway,577.32
2024-02-15,Nippon SIP,994.42
2024-02-13,Kotak MF,4865.59
2024-01-15,Myntra,2948.55
2024-01-08,Big Bazaar,3231.15
2024-01-28,Nippon SIP,1277.29
2024-03-03,Spotify,4535.22
2024-03-03,KFC,4846.5
2024-02-04,HDFC MF,4942.46
2024-01-11,Monthly Rent,1275.3
2024-03-11,DMart,1549.46
2024-03-31,ICICI SIP,2175.28
2024-02-04,Gas Connection,2992.01
2024-03-24,IRCTC,4617.51
2024-03-01,Gas Connection,2173.26
2024-03-16,Kotak MF,274.16
2024-01-08,RedBus,3898.96
